zip,url,price_chf,rooms,area_m2,canton
2502,https://www.homegate.ch/acheter/4002635527,800000.0,3.5,103.0,BE
2502,https://www.homegate.ch/acheter/4002451968,1470000.0,9.5,333.0,BE
2502,https://www.homegate.ch/acheter/4002630077,1150000.0,7.5,150.0,BE
2502,https://www.homegate.ch/acheter/4002461473,990000.0,5.5,123.0,BE
2502,https://www.homegate.ch/acheter/4002513584,3550000.0,,,BE
2502,https://www.homegate.ch/acheter/4002751324,4280000.0,33.0,727.0,BE
2502,https://www.homegate.ch/acheter/4002748026,1250000.0,4.5,160.0,BE
2502,https://www.homegate.ch/acheter/4002748024,1250000.0,4.5,160.0,BE
2502,https://www.homegate.ch/acheter/4002718415,1790000.0,5.5,206.0,BE
2502,https://www.homegate.ch/acheter/4002101720,,7.5,377.0,BE
2502,https://www.homegate.ch/acheter/4002602489,426000.0,4.5,87.0,BE
2502,https://www.homegate.ch/acheter/4002705755,595000.0,3.0,79.0,BE
2502,https://www.homegate.ch/acheter/4002602487,286000.0,2.5,50.0,BE
2502,https://www.homegate.ch/acheter/4002602376,356000.0,3.5,68.0,BE
2502,https://www.homegate.ch/acheter/4002734392,460000.0,2.5,57.0,BE
2502,https://www.homegate.ch/acheter/4002729206,,,,BE
2503,https://www.homegate.ch/acheter/4002753397,1150000.0,8.5,166.0,BE
2503,https://www.homegate.ch/acheter/4002564323,530000.0,3.5,85.0,BE
2503,https://www.homegate.ch/acheter/4002564322,530000.0,3.5,85.0,BE
2503,https://www.homegate.ch/acheter/4002552053,470000.0,3.0,78.0,BE
2503,https://www.homegate.ch/acheter/4002707665,355000.0,4.0,73.0,BE
2503,https://www.homegate.ch/acheter/4002069213,9000000.0,,,BE
2503,https://www.homegate.ch/acheter/4002691126,345000.0,3.0,,BE
2503,https://www.homegate.ch/acheter/4002545594,395000.0,3.5,79.0,BE
2503,https://www.homegate.ch/acheter/4002545592,395000.0,3.5,79.0,BE
2503,https://www.homegate.ch/acheter/4002485475,660000.0,4.5,100.0,BE
2503,https://www.homegate.ch/acheter/4002547550,420000.0,2.5,46.0,BE
2503,https://www.homegate.ch/acheter/4002534332,930000.0,4.5,135.0,BE
2503,https://www.homegate.ch/acheter/4002534329,940000.0,4.5,131.0,BE
2503,https://www.homegate.ch/acheter/4002513903,696000.0,4.5,118.0,BE
2503,https://www.homegate.ch/acheter/4002711941,679000.0,3.5,70.0,BE
2503,https://www.homegate.ch/acheter/4002690614,795000.0,5.5,130.0,BE
2503,https://www.homegate.ch/acheter/4002721551,1590000.0,12.0,250.0,BE
2503,https://www.homegate.ch/acheter/4002705494,1490000.0,5.5,156.0,BE
2503,https://www.homegate.ch/acheter/4002534327,1870000.0,9.0,266.0,BE
2503,https://www.homegate.ch/acheter/4002747530,770000.0,4.5,,BE
2504,https://www.homegate.ch/acheter/4002753350,780000.0,4.5,115.0,BE
2504,https://www.homegate.ch/acheter/4002524525,1395000.0,9.5,327.0,BE
2504,https://www.homegate.ch/acheter/4002691596,888000.0,3.5,115.0,BE
2504,https://www.homegate.ch/acheter/4002659064,1075000.0,4.5,113.0,BE
2504,https://www.homegate.ch/acheter/4002545593,1395000.0,9.5,327.0,BE
2504,https://www.homegate.ch/acheter/4002545591,1395000.0,9.5,327.0,BE
2504,https://www.homegate.ch/acheter/4002137128,885000.0,4.5,116.0,BE
2504,https://www.homegate.ch/acheter/4002190692,1335000.0,8.0,230.0,BE
2504,https://www.homegate.ch/acheter/4002747521,690000.0,4.5,118.0,BE
2504,https://www.homegate.ch/acheter/4002740780,850000.0,4.5,145.0,BE
2504,https://www.homegate.ch/acheter/4002466495,,3.5,110.0,BE
2504,https://www.homegate.ch/acheter/4002728301,630000.0,4.5,113.0,BE
2504,https://www.homegate.ch/acheter/4002729211,2900000.0,17.5,470.0,BE
2504,https://www.homegate.ch/acheter/4002543415,550000.0,2.5,96.0,BE
2504,https://www.homegate.ch/acheter/4002661344,360000.0,2.5,65.0,BE
2504,https://www.homegate.ch/acheter/4002656286,1700000.0,12.0,284.0,BE
2504,https://www.homegate.ch/acheter/4002657504,449000.0,3.5,73.0,BE
2504,https://www.homegate.ch/acheter/4002470032,1390000.0,3.5,265.0,BE
2504,https://www.homegate.ch/acheter/4002405613,630000.0,3.5,105.0,BE
2505,https://www.homegate.ch/acheter/4002695766,1250000.0,3.5,129.0,BE
2505,https://www.homegate.ch/acheter/4002608277,,7.5,238.0,BE
2512,https://www.homegate.ch/acheter/4002361828,1800000.0,4.5,171.0,BE
2512,https://www.homegate.ch/acheter/4002361826,2200000.0,4.5,165.0,BE
2512,https://www.homegate.ch/acheter/4001160717,2950000.0,5.5,198.0,BE
2512,https://www.homegate.ch/acheter/4002468866,,3.5,138.0,BE
2512,https://www.homegate.ch/acheter/4002667657,3200000.0,,,BE
2512,https://www.homegate.ch/acheter/4002470042,795000.0,5.5,156.0,BE
