zip,url,price_chf,rooms,area_m2,canton
2502,https://www.homegate.ch/louer/4002691179,1090.0,2.0,47.0,BE
2502,https://www.homegate.ch/louer/4002515744,1310.0,2.0,,BE
2502,https://www.homegate.ch/louer/4002675008,2500.0,4.0,90.0,BE
2502,https://www.homegate.ch/louer/4002617662,1600.0,3.5,69.0,BE
2502,https://www.homegate.ch/louer/4002574039,1535.0,3.5,63.0,BE
2502,https://www.homegate.ch/louer/4002733845,1390.0,3.5,80.0,BE
2502,https://www.homegate.ch/louer/4002723172,1630.0,3.5,70.0,BE
2502,https://www.homegate.ch/louer/4002698645,1390.0,3.5,80.0,BE
2502,https://www.homegate.ch/louer/4002624307,1600.0,2.5,76.0,BE
2502,https://www.homegate.ch/louer/4002747071,1180.0,3.0,,BE
2502,https://www.homegate.ch/louer/4002744102,980.0,1.5,31.0,BE
2502,https://www.homegate.ch/louer/4002745313,1505.0,2.5,,BE
2502,https://www.homegate.ch/louer/4002602140,1690.0,3.0,,BE
2502,https://www.homegate.ch/louer/4002570697,1535.0,3.5,63.0,BE
2502,https://www.homegate.ch/louer/4002485231,1460.0,3.5,80.0,BE
2502,https://www.homegate.ch/louer/4002230551,1370.0,3.5,65.0,BE
2502,https://www.homegate.ch/louer/4002746506,1800.0,4.0,110.0,BE
2502,https://www.homegate.ch/louer/4002706421,2400.0,3.5,112.0,BE
2502,https://www.homegate.ch/louer/4002705973,1370.0,3.5,72.0,BE
2502,https://www.homegate.ch/louer/4002693567,1950.0,5.5,124.0,BE
2503,https://www.homegate.ch/louer/4001495431,4210.0,7.5,184.0,BE
2503,https://www.homegate.ch/louer/4002707305,1280.0,2.5,,BE
2503,https://www.homegate.ch/louer/4002689713,1170.0,3.0,66.0,BE
2503,https://www.homegate.ch/louer/4002472117,1040.0,2.0,50.0,BE
2503,https://www.homegate.ch/louer/4002746329,2750.0,5.5,,BE
2503,https://www.homegate.ch/louer/4002658797,1390.0,1.0,,BE
2503,https://www.homegate.ch/louer/4002737947,1400.0,3.0,70.0,BE
2503,https://www.homegate.ch/louer/4002727718,1850.0,2.0,100.0,BE
2503,https://www.homegate.ch/louer/4002748636,1100.0,1.5,,BE
2503,https://www.homegate.ch/louer/4002724991,1250.0,2.5,,BE
2503,https://www.homegate.ch/louer/4002745314,1590.0,3.5,80.0,BE
2503,https://www.homegate.ch/louer/4002709869,1650.0,4.5,83.0,BE
2503,https://www.homegate.ch/louer/4002674434,3290.0,4.5,133.0,BE
2503,https://www.homegate.ch/louer/4002559893,1870.0,4.5,102.0,BE
2503,https://www.homegate.ch/louer/4002747366,1190.0,2.5,55.0,BE
2503,https://www.homegate.ch/louer/4002698299,1870.0,3.5,88.0,BE
2503,https://www.homegate.ch/louer/4002686313,2870.0,4.5,138.0,BE
2503,https://www.homegate.ch/louer/4002671666,2086.0,4.0,89.0,BE
2503,https://www.homegate.ch/louer/4002621438,1680.0,2.5,81.0,BE
2503,https://www.homegate.ch/louer/4002590884,4250.0,7.5,184.0,BE
2504,https://www.homegate.ch/louer/4002744210,3090.0,4.5,108.0,BE
2504,https://www.homegate.ch/louer/4002744338,1980.0,3.5,69.0,BE
2504,https://www.homegate.ch/louer/4002744209,1290.0,2.5,44.0,BE
2504,https://www.homegate.ch/louer/4002729325,1225.0,2.5,61.0,BE
2504,https://www.homegate.ch/louer/4002677541,1390.0,2.0,,BE
2504,https://www.homegate.ch/louer/4002750253,1850.0,3.5,92.0,BE
2504,https://www.homegate.ch/louer/4002750265,1780.0,3.5,82.0,BE
2504,https://www.homegate.ch/louer/4002750237,1600.0,2.5,69.0,BE
2504,https://www.homegate.ch/louer/4002747714,1680.0,2.5,,BE
2504,https://www.homegate.ch/louer/4002728628,1490.0,3.5,80.0,BE
2504,https://www.homegate.ch/louer/4002703553,1260.0,4.0,,BE
2504,https://www.homegate.ch/louer/4002678195,1180.0,2.5,81.0,BE
2504,https://www.homegate.ch/louer/4002617664,850.0,1.0,38.0,BE
2504,https://www.homegate.ch/louer/4002524694,1820.0,3.5,97.0,BE
2504,https://www.homegate.ch/louer/4002728189,1890.0,4.5,,BE
2504,https://www.homegate.ch/louer/4002675260,1475.0,3.5,71.0,BE
2504,https://www.homegate.ch/louer/4002674426,1590.0,4.5,80.0,BE
2504,https://www.homegate.ch/louer/4002750707,,3.5,63.0,BE
2504,https://www.homegate.ch/louer/4002750706,1125.0,2.5,45.0,BE
2504,https://www.homegate.ch/louer/4002671790,1370.0,3.5,73.0,BE
2505,https://www.homegate.ch/louer/4002524692,1775.0,3.0,67.0,BE
2505,https://www.homegate.ch/louer/4002398937,2200.0,3.5,89.0,BE
2505,https://www.homegate.ch/louer/4002740285,3300.0,5.5,186.0,BE
2505,https://www.homegate.ch/louer/4002457168,2400.0,3.5,81.0,BE
2505,https://www.homegate.ch/louer/4002426767,2900.0,4.5,120.0,BE
2505,https://www.homegate.ch/louer/4002676663,1820.0,3.0,69.0,BE
2505,https://www.homegate.ch/louer/4002559591,5950.0,7.0,,BE
2505,https://www.homegate.ch/louer/4002714548,2360.0,4.5,114.0,BE
2505,https://www.homegate.ch/louer/4002684867,2310.0,4.5,113.0,BE
2505,https://www.homegate.ch/louer/4002683785,2500.0,3.5,90.0,BE
2512,https://www.homegate.ch/louer/4002599744,1700.0,2.5,111.0,BE
2512,https://www.homegate.ch/louer/4002599745,1610.0,3.5,,BE
2512,https://www.homegate.ch/louer/4002559083,1300.0,2.5,,BE
2512,https://www.homegate.ch/louer/4002744210,3090.0,4.5,108.0,BE
2512,https://www.homegate.ch/louer/4002749175,1350.0,3.5,65.0,BE
2512,https://www.homegate.ch/louer/4002744338,1980.0,3.5,69.0,BE
2512,https://www.homegate.ch/louer/4002744209,1290.0,2.5,44.0,BE
2512,https://www.homegate.ch/louer/4001495431,4210.0,7.5,184.0,BE
2512,https://www.homegate.ch/louer/4002707305,1280.0,2.5,,BE
2512,https://www.homegate.ch/louer/4002524692,1775.0,3.0,67.0,BE
2512,https://www.homegate.ch/louer/4002689713,1170.0,3.0,66.0,BE
2512,https://www.homegate.ch/louer/4002472117,1040.0,2.0,50.0,BE
2512,https://www.homegate.ch/louer/4002516936,1770.0,3.5,79.0,BE
2512,https://www.homegate.ch/louer/4002729325,1225.0,2.5,61.0,BE
2512,https://www.homegate.ch/louer/4002677541,1390.0,2.0,,BE
2512,https://www.homegate.ch/louer/4001853355,1995.0,3.5,88.0,BE
2512,https://www.homegate.ch/louer/4002750253,1850.0,3.5,92.0,BE
2512,https://www.homegate.ch/louer/4002697461,1600.0,3.5,71.0,BE
2512,https://www.homegate.ch/louer/4002686542,2460.0,5.5,160.0,BE
2512,https://www.homegate.ch/louer/4002295127,1440.0,3.5,,BE
2512,https://www.homegate.ch/louer/4002750265,1780.0,3.5,82.0,BE
2512,https://www.homegate.ch/louer/4002746329,2750.0,5.5,,BE
2513,https://www.homegate.ch/louer/4002727843,2300.0,5.5,125.0,BE
2513,https://www.homegate.ch/louer/4002733173,1550.0,2.5,65.0,BE
2513,https://www.homegate.ch/louer/4002744210,3090.0,4.5,108.0,BE
2513,https://www.homegate.ch/louer/4002749175,1350.0,3.5,65.0,BE
2513,https://www.homegate.ch/louer/4002744338,1980.0,3.5,69.0,BE
2513,https://www.homegate.ch/louer/4002744209,1290.0,2.5,44.0,BE
2513,https://www.homegate.ch/louer/4001495431,4210.0,7.5,184.0,BE
2513,https://www.homegate.ch/louer/4002599744,1700.0,2.5,111.0,BE
2513,https://www.homegate.ch/louer/4002707305,1280.0,2.5,,BE
2513,https://www.homegate.ch/louer/4002524692,1775.0,3.0,67.0,BE
2513,https://www.homegate.ch/louer/4002689713,1170.0,3.0,66.0,BE
2513,https://www.homegate.ch/louer/4002472117,1040.0,2.0,50.0,BE
2513,https://www.homegate.ch/louer/4002516936,1770.0,3.5,79.0,BE
2513,https://www.homegate.ch/louer/4002729325,1225.0,2.5,61.0,BE
2513,https://www.homegate.ch/louer/4002677541,1390.0,2.0,,BE
2513,https://www.homegate.ch/louer/4002750253,1850.0,3.5,92.0,BE
2513,https://www.homegate.ch/louer/4002703290,2400.0,4.5,166.0,BE
2513,https://www.homegate.ch/louer/4002697461,1600.0,3.5,71.0,BE
2513,https://www.homegate.ch/louer/4002686542,2460.0,5.5,160.0,BE
2513,https://www.homegate.ch/louer/4002295127,1440.0,3.5,,BE
2513,https://www.homegate.ch/louer/4002750265,1780.0,3.5,82.0,BE
2513,https://www.homegate.ch/louer/4002746329,2750.0,5.5,,BE
2514,https://www.homegate.ch/louer/4002702872,1800.0,3.5,85.0,BE
2514,https://www.homegate.ch/louer/4001495431,4210.0,7.5,184.0,BE
2514,https://www.homegate.ch/louer/4002599744,1700.0,2.5,111.0,BE
2514,https://www.homegate.ch/louer/4002707305,1280.0,2.5,,BE
2514,https://www.homegate.ch/louer/4002524692,1775.0,3.0,67.0,BE
2514,https://www.homegate.ch/louer/4002689713,1170.0,3.0,66.0,BE
2514,https://www.homegate.ch/louer/4002472117,1040.0,2.0,50.0,BE
2514,https://www.homegate.ch/louer/4002703290,2400.0,4.5,166.0,BE
2514,https://www.homegate.ch/louer/4002295127,1440.0,3.5,,BE
2514,https://www.homegate.ch/louer/4002746329,2750.0,5.5,,BE
2514,https://www.homegate.ch/louer/4002716430,1450.0,4.0,84.0,BE
2514,https://www.homegate.ch/louer/4002658797,1390.0,1.0,,BE
2514,https://www.homegate.ch/louer/4002737947,1400.0,3.0,70.0,BE
2514,https://www.homegate.ch/louer/4002727329,2700.0,5.5,180.0,BE
2514,https://www.homegate.ch/louer/4002727718,1850.0,2.0,100.0,BE
2514,https://www.homegate.ch/louer/4002515744,1310.0,2.0,,BE
2514,https://www.homegate.ch/louer/4002710445,,6.5,250.0,BE
2514,https://www.homegate.ch/louer/4002675008,2500.0,4.0,90.0,BE
2514,https://www.homegate.ch/louer/4002748636,1100.0,1.5,,BE
2514,https://www.homegate.ch/louer/4002724991,1250.0,2.5,,BE
2514,https://www.homegate.ch/louer/4002617662,1600.0,3.5,69.0,BE
2516,https://www.homegate.ch/louer/4002745014,1150.0,2.5,50.0,BE
2516,https://www.homegate.ch/louer/4002631671,1100.0,2.5,44.0,BE
2516,https://www.homegate.ch/louer/4002657959,1200.0,2.5,50.0,BE
2516,https://www.homegate.ch/louer/4002520956,1200.0,2.0,60.0,BE
2516,https://www.homegate.ch/louer/4002744210,3090.0,4.5,108.0,BE
2516,https://www.homegate.ch/louer/4002749175,1350.0,3.5,65.0,BE
2516,https://www.homegate.ch/louer/4002744338,1980.0,3.5,69.0,BE
2516,https://www.homegate.ch/louer/4002744209,1290.0,2.5,44.0,BE
2516,https://www.homegate.ch/louer/4001495431,4210.0,7.5,184.0,BE
