zip,locality,canton
2502,"Biel/Bienne,Evilard,Orvin",BE
2503,"Biel/Bienne,Bielersee (BE),Brügg,Nidau,Port",BE
2504,"Biel/Bienne,Brügg,Orpund,Orvin,Pieterlen,Safnern,Sauge",BE
2505,"Biel/Bienne,Bielersee (BE),Evilard,Twann-Tüscherz",BE
2512,"Biel/Bienne,Bielersee (BE),Plateau de Diesse,Twann-Tüscherz",BE
2513,"Bielersee (BE),Ligerz,Plateau de Diesse,Twann-Tüscherz",BE
2514,"Bielersee (BE),La Neuveville,Ligerz,Plateau de Diesse,Twann-Tüscherz",BE
2516,"Ligerz,Nods,Orvin,Plateau de Diesse,Twann-Tüscherz",BE
2517,"Nods,Plateau de Diesse",BE
2532,"Biel/Bienne,Evilard,Orvin,Plateau de Diesse,Twann-Tüscherz",BE
2533,"Biel/Bienne,Evilard,Orvin",BE
2534,"Biel/Bienne,Corgémont,Cortébert,Evilard,Nods,Orvin,Péry-La Heutte,Plateau de Diesse,Sonceboz-Sombeval",BE
2535,"Biel/Bienne,Orvin,Péry-La Heutte,Sauge",BE
2536,"Péry-La Heutte,Romont (BE),Sauge",BE
2537,"Biel/Bienne,Pieterlen,Romont (BE),Sauge",BE
2538,"Lengnau (BE),Pieterlen,Romont (BE),Sauge",BE
2542,"Biel/Bienne,Lengnau (BE),Meinisberg,Pieterlen,Romont (BE),Safnern,Sauge",BE
2552,"Biel/Bienne,Brügg,Orpund,Safnern,Scheuren,Schwadernau",BE
2553,"Biel/Bienne,Büren an der Aare,Meienried,Meinisberg,Orpund,Pieterlen,Safnern,Scheuren",BE
2554,"Büren an der Aare,Lengnau (BE),Meinisberg,Pieterlen,Safnern",BE
2555,"Aegerten,Biel/Bienne,Brügg,Orpund,Port,Schwadernau",BE
2556,"Aegerten,Büetigen,Dotzigen,Meienried,Safnern,Scheuren,Schwadernau,Studen (BE)",BE
2557,"Aegerten,Büetigen,Jens,Lyss,Schwadernau,Studen (BE),Worben",BE
2558,"Aegerten,Brügg,Jens,Port,Schwadernau,Studen (BE)",BE
2560,"Biel/Bienne,Bielersee (BE),Brügg,Ipsach,Nidau,Port",BE
2562,"Aegerten,Bellmund,Ipsach,Jens,Nidau,Port",BE
2563,"Bellmund,Bielersee (BE),Ipsach,Nidau,Port,Sutz-Lattrigen",BE
2564,"Bellmund,Hermrigen,Jens,Merzligen,Port,Sutz-Lattrigen",BE
2565,"Bellmund,Jens,Kappelen,Merzligen,Port,Studen (BE),Worben",BE
2572,"Bellmund,Bielersee (BE),Epsach,Hermrigen,Ipsach,Mörigen,Sutz-Lattrigen,Täuffelen",BE
2575,"Bielersee (BE),Epsach,Hagneck,Lüscherz,Mörigen,Siselen,Täuffelen,Walperswil",BE
2576,"Bielersee (BE),Brüttelen,Finsterhennen,Hagneck,Lüscherz,Siselen,Vinelz",BE
2577,"Bargen (BE),Brüttelen,Finsterhennen,Hagneck,Kallnach,Lüscherz,Siselen,Treiten,Walperswil",BE
2603,"Court,Orvin,Péry-La Heutte,Reconvilier,Romont (BE),Sauge,Valbirse",BE
2604,"Orvin,Péry-La Heutte,Sonceboz-Sombeval",BE
2605,"Corgémont,Orvin,Péry-La Heutte,Sonceboz-Sombeval",BE
2606,"Corgémont,Cortébert,Sonceboz-Sombeval",BE
2607,"Corgémont,Cortébert,Courtelary",BE
2608,"Corgémont,Cormoret,Cortébert,Courtelary,Nods,Villeret",BE
2612,"Cormoret,Courtelary,Villeret",BE
2710,"Mont-Tramelan,Péry-La Heutte,Reconvilier,Saicourt,Sonceboz-Sombeval,Tavannes,Tramelan",BE
2715,"Petit-Val,Rebévelier,Saicourt",BE
2732,"Loveresse,Péry-La Heutte,Petit-Val,Reconvilier,Saicourt,Saules (BE),Tavannes,Valbirse",BE
2733,"Loveresse,Petit-Val,Valbirse",BE
2735,"Champoz,Court,Loveresse,Moutier,Perrefitte,Péry-La Heutte,Petit-Val,Reconvilier,Sorvilier,Valbirse",BE
2736,"Champoz,Court,Péry-La Heutte,Romont (BE),Sorvilier,Valbirse",BE
2744,"Belprahon,Eschert,Grandval,Moutier,Roches (BE)",BE
3004,"Bern,Bremgarten bei Bern,Ittigen,Zollikofen",BE
3005,"Bern,Köniz",BE
3006,"Bern,Köniz,Muri bei Bern,Ostermundigen",BE
3007,"Bern,Köniz",BE
3008,"Bern,Köniz",BE
3010,Bern,BE
3011,Bern,BE
3012,"Bern,Bremgarten bei Bern",BE
3013,Bern,BE
3014,Bern,BE
3015,"Bern,Muri bei Bern,Ostermundigen",BE
3018,"Bern,Köniz",BE
3019,"Bern,Köniz,Neuenegg",BE
3020,"Bern,Frauenkappelen,Mühleberg,Neuenegg",BE
3027,"Bern,Frauenkappelen",BE
3032,"Bern,Frauenkappelen,Wohlen bei Bern",BE
3033,"Frauenkappelen,Wohlen bei Bern",BE
3034,"Frauenkappelen,Mühleberg,Radelfingen,Wohlen bei Bern",BE
3035,"Radelfingen,Seedorf (BE),Wohlen bei Bern",BE
3036,"Kallnach,Mühleberg,Radelfingen,Seedorf (BE),Wohlen bei Bern",BE
3037,"Bern,Bremgarten bei Bern,Kirchlindach,Wohlen bei Bern",BE
3038,"Bremgarten bei Bern,Kirchlindach,Meikirch,Münchenbuchsee,Schüpfen,Wohlen bei Bern,Zollikofen",BE
3042,"Kirchlindach,Meikirch,Wohlen bei Bern",BE
3043,"Bern,Kirchlindach,Meikirch,Wohlen bei Bern",BE
3044,"Seedorf (BE),Wohlen bei Bern",BE
